MSCI World ,NDDUWI,MSCI WORLD U$ - PRICE/BOOK RATIO,MSCI WORLD U$ - DIVIDEND YIELD
Date,in USD,MSWRLD$(MSBP),MSWRLD$(MSDY)
1974/12/31,88.76,1.08,5.4
1975/1/31,101.7,1.22,4.7
1975/2/28,110.68,1.3,4.4
1975/3/31,111.49,1.29,4.4
1975/4/30,116.11,1.33,4.2
1975/5/30,118.86,1.35,4.1
1975/6/30,120.36,1.37,4
1975/7/31,113.71,1.31,4.2
1975/8/29,111.95,1.29,4.3
1975/9/30,107.25,1.24,4.4
1975/10/31,114.64,1.31,4.2
1975/11/28,117.77,1.35,4
1975/12/31,117.88,1.35,4
1976/1/30,128.41,1.46,3.7
1976/2/27,127.46,1.44,3.8
1976/3/31,128.96,1.43,3.8
1976/4/30,128.02,1.4,3.8
1976/5/31,125.89,1.38,3.9
1976/6/30,129.76,1.41,3.8
1976/7/30,128.55,1.38,3.9
1976/8/31,128.26,1.37,4
1976/9/30,129.33,1.38,4
1976/10/29,124.81,1.33,4.1
1976/11/30,124.32,1.33,4.3
1976/12/31,133.67,1.41,4
1977/1/31,129.18,1.36,4.2
1977/2/28,128.61,1.34,4.3
1977/3/31,127.81,1.3,4.4
1977/4/29,129.21,1.29,4.4
1977/5/31,127.45,1.26,4.5
1977/6/30,132.25,1.29,4.4
1977/7/29,130.48,1.27,4.5
1977/8/31,130.96,1.27,4.5
1977/9/30,132.59,1.28,4.5
1977/10/31,130.32,1.23,4.7
1977/11/30,131.96,1.24,4.7
1977/12/30,134.58,1.23,4.7
1978/1/31,130.62,1.19,4.9
1978/2/28,129.61,1.16,5.1
1978/3/31,135.48,1.18,5
1978/4/28,141.56,1.22,4.8
1978/5/31,143.33,1.22,4.8
1978/6/30,144.75,1.21,4.8
1978/7/31,155.18,1.27,4.6
1978/8/31,158.74,1.28,4.5
1978/9/29,160.56,1.29,4.6
1978/10/31,157.43,1.21,4.8
1978/11/30,151.86,1.21,4.9
1978/12/29,156.81,1.22,4.9
1979/1/31,160.81,1.26,4.8
1979/2/28,157.72,1.23,5
1979/3/30,164.32,1.25,4.8
1979/4/30,164.07,1.24,4.9
1979/5/31,161.22,1.2,5
1979/6/29,165.86,1.21,4.9
1979/7/31,167.09,1.19,5
1979/8/31,173.79,1.23,4.9
1979/9/28,177.68,1.25,4.9
1979/10/31,164.44,1.17,5.2
1979/11/30,169.47,1.19,5.2
1979/12/31,173.98,1.21,5.1
1980/1/31,184.44,1.27,4.9
1980/2/29,184.5,1.27,5
1980/3/31,164.63,1.14,5.6
1980/4/30,175.38,1.15,5.5
1980/5/30,183.99,1.16,5.4
1980/6/30,192.78,1.19,5.2
1980/7/31,198.67,1.22,5
1980/8/29,202.52,1.23,5
1980/9/30,208.57,1.25,4.9
1980/10/31,214.61,1.29,4.8
1980/11/28,223.56,1.35,4.5
1980/12/31,218.64,1.32,4.7
1981/1/30,212.25,1.3,4.9
1981/2/27,212.84,1.32,4.8
1981/3/31,220.38,1.33,4.8
1981/4/30,220.45,1.33,4.6
1981/5/29,216.12,1.3,4.6
1981/6/30,215.72,1.28,4.9
1981/7/31,212.04,1.23,4.9
1981/8/31,207.84,1.23,4.9
1981/9/30,192.19,1.13,5.3
1981/10/30,198.04,1.15,5.2
1981/11/30,212.73,1.2,4.9
1981/12/31,208.18,1.18,5
1982/1/29,205.09,1.17,5.1
1982/2/26,192.63,1.11,5.4
1982/3/31,187.34,1.09,5.5
1982/4/30,196.5,1.11,5.3
1982/5/31,191.51,1.07,5.4
1982/6/30,182.83,1.03,5.6
1982/7/30,180.44,1.01,5.7
